"speaker","time","text"
"Customer","0:00"," [RINGTONE]"
"Agent","0:21"," hello hello"
"Customer","0:26"," haan ji haan"
"Agent","0:27"," good morning sir amrit singh ji baat kar rahe hai"
"Customer","0:30"," ji haan ji achcha"
"Agent","0:32"," sir financial advisor baat kar raha hoon policybazaar dot com se investment department se"
"Customer","0:37"," haan"
"Agent","0:38"," haan sir aapne query raise ki thi na child saving plan se related policy bazaar ki website pe"
"Customer","0:43"," ji"
"Agent","0:44"," usi ke regarding aapko connect kiya hai sir abhi sir"
"Customer","0:48"," achcha lagbhag mera reply hai"
"Agent","0:49"," child"
"Customer","0:49"," nahi"
"Agent","0:49"," saving"
"Customer","0:50"," itne"
"Agent","0:50"," plans"
"Customer","0:50"," ka"
"Agent","0:50"," dekh rahe hai bachchon ke future saving ke liye"
"Customer","0:53"," haan ji sir"
"Agent","0:55"," achcha sir aur bhi kahin aapne saving kar rakhi hai sir bachchon ke liye aap mai jaanna chahunga aapse"
"Customer","1:00"," maine kari hai wo apne ghar mein hee kari hai maine kari"
"Agent","1:03"," haan sir"
"Customer","1:06"," hai sir wo ghar mein kari hai maine"
"Agent","1:09"," kari hai aapne kahi kahan kari hui hai"
"Customer","1:12"," ghar mein kari hai sir maine haan"
"Agent","1:15"," ghar mein kari hai"
"Customer","1:17"," ji haan"
"Agent","1:19"," achcha kya karte hai sir abhi aap"
"Customer","1:22"," ji"
"Agent","1:23"," kya karte hai sir abhi aap job karte hai ya business hai aapka"
"Customer","1:27"," mai"
"Agent","1:27"," khud ka"
"Customer","1:29"," nahi sir mai toh choti moti bead pee ke batata hoon chota"
"Agent","1:32"," haan sir achcha"
"Customer","1:34"," mota sir dedh hazaar lagata hoon theek hai toot kedar pe"
"Agent","1:37"," diadi karte hai aap kitni"
"Customer","1:39"," haan ji"
"Agent","1:40"," income ho jaati hai mahine ki diwadi se"
"Customer","1:44"," wahi sir zyada hai zyada nau dus nau dus hazaar"
"Agent","1:47"," kitna sir"
"Customer","1:50"," nau dus hazaar sir haan"
"Agent","1:51"," dus hazaar rupay"
"Customer","1:54"," ji sir sir"
"Agent","2:02"," ab padhe dekhiye kahan tak hai sir aap"
"Customer","2:07"," padha likha toh mai woh"
"Agent","2:11"," haan"
"Customer","2:11"," kar"
"Agent","2:11"," sir"
"Customer","2:11"," diya plus two kariye ji barahvi"
"Agent","2:16"," aath v dusvi barahvi kahan tak"
"Customer","2:20"," barahvi haan"
"Agent","2:20"," barahvi"
"Customer","2:23"," ji haan"
"Agent","2:25"," sir aapka purpose kya hai jaise bachche ke liye hee hai na aap jo plan wagairah dekh rahe hai jisse aap bachche ka future secure kar sake aage chal ke"
"Customer","2:34"," ji haan"
"Agent","2:35"," haan sir"
"Customer","2:37"," ji haan ji"
"Agent","2:39"," theek hai sir sir aapki city kya rahegi himachal pradesh aur"
"Customer","2:44"," haan ji"
"Agent","2:52"," aapki age kya hai sir haan sir"
"Customer","2:59"," tees saal tak tees"
"Agent","3:01"," amrit"
"Customer","3:01"," saal"
"Agent","3:01"," ji"
"Customer","3:01"," tak haan"
"Agent","3:02"," awaaz aa rahi hai aapko"
"Customer","3:03"," ji haan ji haan ji"
"Agent","3:04"," age kya rahegi aapki"
"Customer","3:07"," meri age hai sir tees saal tees"
"Agent","3:09"," kitni tees"
"Customer","3:15"," haan ji pata"
"Agent","3:17"," yahan par ikattees daal rakhi hai aapne"
"Customer","3:21"," nahi sir wo toh sir mai aise kar raha tha dekh raha tha but wo karne ka nahi hai abhi mere ko na haan"
"Agent","3:26"," achcha abhi karne ka nahi hai kya"
"Customer","3:28"," ji haan ji arey"
"Agent","3:29"," ho gaya matlab plan samajh mein nahi aaya jab pehle baat hui thi ya abhi matlab"
"Customer","3:34"," nahi sir"
"Agent","3:35"," kya"
"Customer","3:35"," maine"
"Agent","3:35"," dikkat aa raha hai"
"Customer","3:36"," pata kya hai sir itni saving nahi hoti mere paas sir kharche aate"
"Agent","3:39"," toh"
"Customer","3:39"," hai toh mere"
"Agent","3:40"," do"
"Customer","3:40"," maa"
"Agent","3:40"," hazaar"
"Customer","3:40"," baap"
"Agent","3:40"," rupay"
"Customer","3:41"," hai"
"Agent","3:41"," maine"
"Customer","3:41"," sir"
"Agent","3:41"," dekhiye sir"
"Customer","3:41"," haan"
"Agent","3:41"," amrit ji meri baat suniye aap do hazaar"
"Customer","3:44"," ji"
