speaker,time,text
Customer,00:00,[RINGTONE]
Customer,00:12,hello
Customer,00:14,hello haan ji
Agent,00:15,hello yeah hi good afternoon sir mister shubham tyagi ji baat kar rahe hai
Customer,00:20,shubham toh nahi sambhav tyagi baat kar raha hoon mai
Agent,00:22,sorry sorry sambhav tyagi ji kaise hai sir aap ji bahut badhiya sir mai rajesh verma baat kar raha tha sir policybazaar dot com se abhi just aapka number receive hua tha policybazaar se invitation aaya hua tha aapka aap kuch plan search kar rahe hai investment ke liye sir okay
Customer,00:25,bahut achcha hoon aap kaise
Customer,00:36,yes sir actual mein kya hai na mai kuch investment plan jaanna chah raha hoon per month month mein jinme kuch invest kar paun aur after some time mujhe aur main uska profit mein le paun ya matlab matlab meri investment ka kuch return milta hai mujhe yeh samajh
Agent,00:48,dekhiye
Agent,00:52,haan sir dekhiye minimum agar mai bataun minimum paanch saal ke liye aapka investment rahega sir minimum paanch saal ke liye five years five years tak ka aapka lock in period rehta hai after five year you can withdrawal your whole amount you can withdrawal your partial amount but ek ek recommend karna chahunga aap minimum short term ke liye investment karo matlab paanch saal ke liye aur long term mein aap stay karo then aap long term mein stay karoge sambhav ji utna zyada benefits rahega aapko yaani
Customer,00:57,five years
Customer,01:04,okay
Customer,01:10,sorry
Customer,01:12,main sab samajh mein nahi paya kya keh rahe hai dubara se
Agent,01:15,ki bol raha hoon ki short term ke liye investment kijiye long term ke liye plan mein stay kijiye sir right yaani ki haan batata hoon jaise maan lijiye maine policy term rakha hai mere premium paying term ka paanch saal ka ki maine policy paanch saal ke liye pay karunga aur meri yahi policy pandrah saal ke liye chalti rahegi yaani ki mera paisa aage compounding hota rahega sir aage aane wale pandrah saal tak
Customer,01:20,samjhayenge samjha
Agent,05:19,okay theek hai mai aapko call karta hoon ek baar
